termo,definicion
altura potencial,Termo da ecuación de Bernouilli da dinámica de fluídos que representa a enerxía por unidade de peso correspondente a un elemento de volume de fluído polo feito de estar situado a unha determinada altura sobre un plano de referencia no campo gravitatorio terrestre.
altura xeométrica,Altura piezométrica.
aluminio,"Sb. Al. Elemento químico de número atómico13, descuberto no 1825, por H. C. Oersted. De aspecto metálico e cor branca prateada, é bo conductor da calor e da electricidade, sendo o metal máis abundante (8 %) na codia terrestre. O aluminio natural está constituído de forma exclusiva polo isótopo Al-27, pero hai 18 isótopos artificiais máis. Preséntase en multitude de compostos entre os que destacan os silicatos de aluminio complexos como as arxilas. A maioría do que se consume extráese da bauxita (Al2O3·xH2O). Debido á súa baixa densidade, as súas aliaxes teñen moitos usos industriais. MA. 26,981 5 u; Pf. 660 ºC; Peb. 2519 ºC;  2700 kgm-3."
álxebra,"Parte das matemáticas que ten como obxecto a xeneralización do cálculo numérico, ocupándose das operacións aritméticas e das ecuacións nas que as incógnitas só se ven afectadas por ese tipo de operacións."
americio,"Sb. Am. Elemento químico de número atómico 95, descuberto (Am-241) no 1944, por G. T. Seaborg, R. A. James, L. O. Morgan e A. Ghiorso. Todos os seus 19 isótopos que se coñecen son radioactivos, sendo o máis estable o Am-243 unha vida media de 7360 anos. MA. 243,06 u; Pf. 1 176 ºC;  13670 kgm-3."
amortecemento,"Diminución da amplitude de oscilación dun sistema debido a unha cesión de enerxía por parte do mesmo (V. movemento vibratorio amortecido). Nun sistema  oscilante caracterizado por unha constante elástica K, unha masa m e unha forza de rozamento proporcional á velocidade (FR=-Rv), a amplitude diminúe co tempo segundo a ecuaciónUn sistema así vén caracterizado polo chamado coeficiente de amortecemento k;  aumentando a constante R, aumenta o coeficiente k, producíndose unha diminución na súa frecuencia de oscilación e unha, aínda máis rápida, diminución da súa amplitude. Para o caso particular en que, o coeficiente do sistema vale infinito e a frecuencia de oscilación é igual a cero, deixando de oscilar. O sistema acada, entón, un amortecemento crítico. Este amortecemento crítico búscase ás veces en aparellos de medida para evitar a oscilación das agullas indicadoras, mellorándose a súa lectura. V. oscilacións."
amortecemento,"Para o caso dunha onda que se propaga, o amortecemento pode ser debido a unha absorción (cesión de enerxía ao medio elástico) pero, tamén, a unha atenuación na súa intensidade."
amortecemento crítico,V. amortecemento; coeficiente de amortecemento.
amortecemento viscoso,"Amortecemento debido á existencia de forzas de rozamento proporcionais á velocidade do móbil segundo:, sendo R a constante de amortecemento."
ampere,"Sb. A. Unidade de intensidade de corrente eléctrica no SI, en lembranza do físico André-Marie Ampère(1775-1836). É a intensidade dunha corrente constante que, circulando por dous conductores paralelos e rectilíneos, de lonxitude infinita con sección circular desprezable e situados, no baleiro, a unha distancia dun metro un do outro,  produce entre eles unha forza, por cada metro de lonxitude, de 2·107 N."
"Ampère, lei de",Relaciona a circulación da inducción magnética ao longo dunha liña pechada coa corrente total I que atravesa calquera superficie limitada pola liña ao longo da que se integra e a permeabilidade magnética do medio.
"Ampère-Maxwell, lei de","Expresión que relaciona a circulación do vector inducción magnética, B, ao longo dunha liña pechada, coa variación segundo o tempo do fluxo eléctrico,, e coa corrente total, I, que atravesa calquera superficie limitada pola liña pechada ao longo da que se integra, segundo:O primeiro termo no segundo membro desta ecuación amplía a lei de Ampere, no senso de que un campo magnético se pode producir ademais de por unha corrente eléctrica, por un campo eléctrico variable ou calquera outro fenómeno que supoña un cambio no fluxo eléctrico que atravesa a superficie limitada por unha liña pechada. Constitúe a cuarta ecuación de Maxwell."
