termo,definicion
tungsteno,Volframio.
turbina de impulsión,"Turbina que funciona polo empuxe directo e/ou polo peso da auga, ou fluído empregado para o seu movemento. Existen moitos deseños, non acadan velocidades e potencias tan altas como no caso das turbinas de reacción e, de feito, en moitos casos son clasificadas como rodas hidráulicas máis que como turbinas."
turbina de reacción,"Turbina que funciona segundo o principio de acción e reacción (ou de forma equivalente, segundo o principio de conservación do momento lineal). Están totalmente mergulladas na auga ou fluído empregado para o seu movemento, acadan grandes velocidades e un alto rendemento, e son exemplos destas a turbina Francis e a Kaplan. V. turbina de impulsión."
turbina de vapor,V. máquina de vapor.
turbina,"Dispositivo no que se transforma a enerxía cinética de translación dun fluído en enerxía cinética de rotación que pode ser empregada para realizar un traballo. As máis habituais empregan auga líquida, vapor de auga, ou outro gas como fluído de traballo. O impacto do fluído contra as pas soldadas a un eixe central provoca o xiro deste, que pode ser transferido mediante as correspondentes engrenaxes, de tal xeito que poida ser aproveitado para a producción, p.e., de enerxía eléctrica. A turbina considérase froito da evolución dos antigos rodicios dos muíños de auga e existen diferentes tipos e deseños. Entre os empregados nas máquinas hidráulicas pódense clasificar en turbinas de impulsión, como a turbina Pelton ou a Michell, e turbinas de reacción, como a turbina Francis ou a Kaplan. V. molinete hidráulico; máquina térmica."
turbulencia en aire claro,"Nome que reciben as turbulencias que pode experimentar unha aeronave, a gran altitude e ausencia de nubes, debido á gran diferencia de velocidade entre os ventos localizados, respectivamente, no centro e beiras dunha corrente en chorro. Do seu nome en inglés, Clear Air Turbulence, derivan as siglas CAT e o nome que recibe popularmente en aeronáutica: gatos."
turbulencia,"Especie de axitación brusca experimentada por unha aeronave en voo e que pode ser orixinada por diferentes condicións meteorolóxicas como, p.e.: a existencia de correntes verticais no interior de grandes nubes do tipo cúmulo ou cumulonimbo, ondas de montaña ou turbulencias en aire claro (CAT)."
"Tyndall, efecto","Fenómeno de dispersión que sofre a luz ao atravesar un coloide. O tamaño das partículas que forman parte da disolución coloidal é o axeitado en relación á lonxitude de onda da luz incidente para provocar este efecto. Foi descuberto por John Tyndall (1820-1893) pero a súa explicación teórica veu dada por Lord Rayleigh, quen deduciu que este fenómeno era inversamente proporcional á cuarta potencia da lonxitude de onda da radiación incidente. Isto xustifica a cor azul e constitúe un criterio eficaz para distinguir as disolucións dos coloides, xa que aquelas non presentan o fenómeno."
ultracentrifugación,V. centrifugación.
ultrasons,"Vibracións que se propagan por un medio elástico, de igual natureza que o son, pero con frecuencias por riba dos 20 000 Hz. Prodúcense, xeralmente, aproveitando as propiedades piezoeléctricas do cuarzo e presentan moitas e variadas aplicacións, p.e., en medicina (ecografías, tratamento de contracturas musculares, etc), metalurxia, soldadura, limpeza, detección e alarma. V. sonar; velocidade do son."
ultravioleta,"Abrev. UV. Nome que reciben as ondas electromagnéticas con lonxitude de onda comprendida entre os 400 nm (no límite coa luz visible violeta) e os 10 nm (no límite cos raios X brandos). Entre os 400 e 300 nm localízase o chamado ultravioleta próximo e, por debaixo dos 200 nm atópase o ultravioleta extremo. Atópase radiación ultravioleta na radiación térmica dos sólidos a altas temperaturas pero principalmente no espectro de emisión dos gases, de feito a primeira liña Lyman do hidróxeno preséntase nesta rexión. Dado o alto contido enerxético dos fotóns de ultravioleta, presenta un gran poder ionizante, resultando perigoso para os seres vivos pola acción sobre as moléculas orgánicas complexas. O Sol é unha fonte intensa de ultravioleta pero, a maior parte, particularmente o de menor lonxitude de onda (e maior frecuencia) é absorbido pola capa de ozono da estratosfera. O UV clasifícase tamen, segundo os seus efectos sobre a pel humana, en tres intervalos: o UV-A, entre os 400 e 320 nm, que en doses baixas pode non resultar dañino e induce a transformación da provitamina D en vitamina D; o UV-B, entre os 320 e 280 nm, que actúa sobre determinados pigmentos da pel producindo o característico bronceado e, xa no UV extremo, o UV-C, o que resulta máis perigoso. V. espectro ultravioleta."
Umbriel,"Satélite de Urano descuberto no 1851 por W. Lassell. Ten un diámetro medio duns 1172 km e unha masa duns 1,17·1021 kg, tardando uns 4,144 días terrestres en completar unha volta arredor do planeta e o mesmo tempo en dar unha volta arredor do seu eixe de rotación."
unidade astronómica,"Sb. UA. Unidade empregada en astronomía para medir distancias especialmente dentro do Sistema Solar. Defínese como o radio medio da órbita terrestre arredor do Sol, con máis precisión 1 UA é o radio que tería unha imaxinaria órbita circular descrita polo centro da Terra, cunha velocidade de módulo constante e igual á velocidade media que posúe no seu movemento de translación real, supoñendo o planeta esférico e homoxéneo e que non sofre perturbación algunha debido á interacción cos outros planetas e astros do Sistema Solar. Con tal idealización, resulta 1 UA igual a 1,495 978 7·108 km."
unidade básica,"Cada unha das unidades que son definidas por convenio, correspondentes ás magnitudes fundamentais, e que permiten configurar un determinado sistema de unidades, como o actualmente estendido Sistema Internacional de sete unidades básicas (SI). Son unidades básicas no SI: o metro, o segundo, o quilogramo, o ampere, o grao Kelvin, o mol e a candela."
unidade central de proceso,"En informática, parte dun ordenador que interpreta e executa as instruccións. Nun ordenador persoal é sinónimo de microprocesador, mentres que en grandes ordenadores pode estar formada por varios circuítos integrados ou varios microprocesadores traballando en paralelo. A parte da CPU que realiza as operacións lóxicas e os cálculos, coñecese como a unidade aritmética e lóxica mentres que a unidade de control fai o labor de coordinación necesario para que se execute cada unha das instruccións. A CPU contén tamén unhas localizacións de memoria chamadas rexistros nas que se almacenan temporalmente os datos. Utilízase con frecuencia o acrónimo CPU (Central Processing Unit)."
unidade de disco,"En informática, dispositivo periférico que le e escribe información sobre a superficie dun disco. Hai diferentes tipos dependendo do disco e da tecnoloxía empregada. V. disquete; disco duro; CD; DVD."
unidade de masa atómica,"Sb. u. Unidade empregada  na medida de masas en química. Hoxe en día defínese como a masa da doceava parte dun átomo de C-12 ou sexa 1,660 33·10-27kg. Dado o seu valor extremadamente pequeno é axeitada para expresar a masa de entidades elementais, como átomos, moléculas ou ións. Así, para especificar a masa dun átomo dun elemento químico calquera só é necesario expresar en “u” o seu valor de masa atómica que recolle a táboa periódica."
unidade derivada,"Cada unha das unidades empregadas para medir magnitudes derivadas, que se definen a partir das unidades básicas, previamente establecidas por convenio. Son exemplos o ms-1, o newton ou o joule. A relación que se establece entre cada magnitude derivada e as fundamentais é o que se chama dimensión.V. análise dimensional."
unidade,"Determinada cantidade dunha magnitude física que, asignándolle o valor 1, se toma como referencia para medir outras cantidades desa mesma magnitude. As unidades son definidas e agrupadas en determinados sistemas de unidades, como o Sistema Internacional, e distínguese entre unidades básicas, unidades derivadas e, nalgúns sistemas de unidades, unidades suplementarias."
unidade fundamental,Unidade básica.
unidade suplementaria,"Unidades definidas nun determinado sistema de unidades, ao marxe das unidades básicas e unidades derivadas empregadas no mesmo, ao carecer de dimensións. No SI son suplementarias o radián e o estereorradián."
unidade térmica británica,"Abrev. BTU. Unidade de calor empregada nalgúns países de fala inglesa. 1 BTU defínese como a cantidade de calor necesaria para elevar 1ºF a temperatura de 1 libra de auga, e equivale a 1,055 kJ do SI."
unidades electromagnéticas,Sb. u.e.m. Unidades empregadas no sistema electromagnético. V. ab-; c.g.s.
unidades electrostáticas,Sb. u.e.e. Unidades empregadas no sistema electrostático. V. stat-; c.g.s.
unidades gaussianas,Unidades que forman o chamado sistema de Gauss.
unidades naturais,"Unidades empregadas na física de partículas, obtidas ao tomar como valor da constante de Planck racionalizada e da velocidade da luz o valor unidade (). No sistema constituído por estas unidades, a lonxitude, masa e tempo resultan magnitudes derivadas con dimensións dunha potencia da enerxía (expresada esta normalmente en electrón-voltios). V. Planck, unidades de."
unidades xeometrizadas,"Unidades empregadas en relatividade xeral, obtidas ao fixar para a constante da gravitación universal e para a velocidade da luz o valor unidade (G=c=1). No sistema constituído por estas unidades, a masa e o tempo resultan magnitudes derivadas con dimensións dunha potencia da lonxitude. V. Planck, unidades de."
unión p-n,"Unión que se forma cando se poñen en contacto un semiconductor de tipo p e un semiconductor de tipo n. Cando se forma a unión, algúns electróns da rexión n pasan a ocupar algúns ocos da rexión p, establecéndose unha diferencia de potencial que impide o paso de máis. Cando se establece unha polarización inversa na unión (rexión n positiva, rexión p negativa) dificúltase aínda máis o paso de electróns da rexión n á p. Mentres que se a polarización da unión é directa (rexión n negativa, rexión p positiva) o campo eléctrico aplicado fai que os electróns podan atravesar a unión. A unión p-n dá lugar a un díodo semiconductor básico."
Universo,"Termo que designa ao conxunto de todo o que existe: materia, enerxía, espacio-tempo, etc. Diferentes modelos cosmolóxicos, derivados da aplicación da relatividade xeral, intentan explicar, partindo dunha singularidade chamada Big bang e caracterizada por un estado de densidade e temperatura infinitos, a evolución do Universo, aceptando a súa actual expansión e arrefriamento, dadas as evidencias experimentais observadas (V. Hubble, lei de; desprazamento espectral). Partindo da situación actual, dominada pola existencia dos átomos e as catro interaccións fundamentais, o que en cosmoloxía se chama a era dos átomos, pódese percorrer marcha atrás a historia do Universo, ata a chamada Recombinación, que tivo lugar cando o Universo tiña unha temperatura media duns 3000 K o que, no modelo do Universo Crítico, correspondería a uns 100 000 anos despois da gran explosión. Nesa época os protóns e núcleos de elementos lixeiros, anteriormente formados, combináronse cos electróns, libres ata entón dadas as elevadas temperaturas; formaríanse así os átomos, desacoplándose materia e radiación, que ata entón se mantiñan nun equilibrio termodinámico común, co resultado da radiación de fondo cósmico, actualmente detectable. O que puido acontecer con anterioridade á era da Recombinación constitúe o chamado universo primitivo. Recuperando o sentido do tempo, posteriormente ao momento da Recombinación, ten lugar a formación de sucesivas xeracións de estrelas, galaxias, etc; e, cara ao futuro do Universo, a súa evolución vén determinada, nos diferentes modelos cosmolóxicos, por parámetros como: o parámetro de densidade, o de curvatura, o de deceleración ou o parámetro cosmolóxico  e, segundo os valores considerados para os mesmos, o Universo podería constituír un universo aberto ou un universo pechado, incluso o propio modelo de Universo Crítico, fronteira entre as outras dúas posibilidades."
Universo,"En termodinámica, conxunto de sistema e arredor."
universo aberto,"En cosmoloxía, nome que se refire a un tipo de universo obtido en diferentes modelos cosmolóxicos, caracterizado por unha expansión continua, iniciada no Big Bang e sen remate, como se indica na figura. V.Universo Crítico; universo pechado.0figura0 (combina os tres: univ.. aberto, pechado e crítico)."
Universo Crítico,"Tamén chamado universo de Einstein-De Sitter ou universo plano, é o que se obtén dun modelo cosmolóxico que parte dun parámetro de curvatura e dun parámetro cosmolóxico nulos e unha densidade igual á densidade crítica (parámetro de densidade unidade). Dos tres valores anteriores obtense un parámetro de deceleración q = 1/2. Este modelo implica un universo en expansión, que partiu dun Big Bang inicial nun estado de densidade infinita, e no que a materia-enerxía vai freando a expansión de tal forma que xusto para un tempo infinito se detería, é dicir, a representación do factor de escala cósmico R(t) respecto ao tempo sería unha curva cunha asíntota horizontal. A constante de Hubble, H, diminúe co tempo segundo H = (2/3)·t-1."
universo estacionario,"Modelo, practicamente desbotado pola inmensa maioría dos cosmólogos, no que se admite a actual expansión do Universo pero que propón a creación continua de materia, de tal modo que a densidade media do Universo, e outras propiedades que o definen, non cambian significativamente co tempo (V. principio cosmolóxico). O modelo, proposto e defendido por Fred Hoyle, non parte da relatividade xeral e non considera válida a teoría do Big bang; polo contrario, supón a existencia de partículas de enerxía negativa, na actualidade non aceptada pola maioría dos físicos."
universo estático,"En cosmoloxía, nome que se refire a un dos tres primeiros modelos cosmolóxicos obtidos, con anterioridade ao descubrimento da lei de Hubble. Teñen en común que a súa métrica non depende do tempo. Un deles correspóndese co modelo plano da relatividade restrinxida (o espacio-tempo de Minkowski), mentres que os outros dous implicaban un valor non nulo do parámetro cosmolóxico e son os chamados modelo de Einstein e modelo estático de De Sitter."
universo inflacionario,"En cosmoloxía, nome que se refire a un tipo de modelo de universo primitivo que supón a existencia dun cambio de fase poucos segundos despois do comezo do Big bang, o que suporía un período de expansión acelerada. En tal situación tería lugar unha gran liberación de enerxía, almacenada ata entón no baleiro do espacio-tempo (V. baleiro cuántico). Por tal motivo, durante un corto intervalo de tempo, o horizonte do universo se expandiría moito máis rápido que a velocidade da luz, permitindo dar conta dalgunhas cuestións non explicadas por outros modelos, como os chamados problema do horizonte, problema da curvatura nula, ou a non detección de monopolos magnéticos e outros defectos topolóxicos, tal como se deduciría da aplicación directa das teorías de gran unificación ao universo primitivo. O primeiro modelo deste tipo foi proposto por A. Guth no 1980. V. modelo cosmolóxico."
universo oscilante,V. universo pechado.
universo pechado,"En cosmoloxía, nome que se refire a un tipo de universo obtido en diferentes modelos cosmolóxicos, caracterizado polo feito de que o conxunto total de materia e enerxía contidas no mesmo conseguen deter a expansión iniciada no Big Bang nun tempo finito, rematando nunha singularidade, o Big Crunch. O espacio do Universo cúrvase sobre si mesmo e presenta un volume finito pero ilimitado. Dentro da pura especulación, fálase da posibilidade de que o Big Bang do actual Universo fose o resultado do Big Crunch dun anterior universo, repetíndose o ciclo indefinidamente; é o que se ten chamado un universo oscilante. Resulta obvio que non hai posibilidade de evidencias experimentais de tales acontecementos. V. universo aberto; Universo Crítico."
universo plano,Universo crítico.
universo primitivo,"Termo referido aos primeiros instantes do Universo, estudiados por unha combinación dos modelos cosmolóxicos, que parten da existencia dun Big Bang, e das teorías de gran unificación. Sóese considerar como tal o intervalo de tempo que iría dende o propio Big bang ata a chamada era da recombinación (V. Universo). Todos os cálculos e consideracións parten de dúas hipóteses básicas: o Universo, suposto homoxéneo e isótropo, pódese describir mediante a relatividade xeral, e a súa temperatura, durante as súas fases iniciais, era o suficientemente elevada como para adoptar un estado de equilibrio estatístico entre diferentes especies; ao irse arrefriando, van tendo lugar diferentes roturas de simetría e de equilibrio (desacoplamentos), ata conformar o actualmente coñecido (V. simetría rota). Pódense mencionar algúns acontecementos e épocas especialmente significativas: dende o inicio do Big bang ata uns 10-43 s, na chamada era de Planck, o Universo debeu ter propiedades moi peculiares, con valores de densidade e temperatura tan altos que requiren dunha teoría da física aínda non desenvolvida, que combine a mecánica cuántica coa relatividade xeral e que explique as catro interaccións fundamentais de forma unificada (V. Planck, tempo de; gravidade cuántica); a era de Planck remata co desacoplamento da gravitación, manténdose unidas as outras tres interaccións ata que aos 10-32s ten lugar o desacoplamento da interacción nuclear forte das outras dúas, e aos 10-10 s xa están separadas as catro interaccións; a finais desa época os quarks se uniron formando protóns e neutróns, e o Universo estaba composto por unha mestura de partículas en interacción mutua e equilibrio (era das partículas, na que se distinguen a era hadrónica e a posterior era leptónica); co arrefriado vanse rompendo algúns deses equilibrios tendo lugar, entre outros acontecementos: o desacoplamento dos neutrinos, a nucleosíntese primordial do helio e outros elementos lixeiros, e a aniquilación mutua de electróns e positróns para dar fotóns, ao ocorrer máis rápido isto que o proceso inverso; de tal aniquilación sobreviviron unicamente os maioritarios electróns. Todo o anterior tiña transcorrido antes de que pasara 1 s na vida do Universo, cando este inicia a chamada era da radiación, na que os fotóns dominan de tal forma que ata a gravidade é producida maioritariamente por eles.  Esta época esténdese ata que se acada a igualdade entre a densidade de enerxía dos fotóns (que depende da cuarta potencia da temperatura, lei de Stefan) e a densidade da enerxía da materia; tal acontecemento ocorreu, segundo o modelo do Universo Crítico, antes dos 5000 anos dende o Big bang, cando comeza a era do plasma, que se estende ata o momento da recombinación, na que ten lugar o desacoplamento da materia coa radiación. O modelo do universo inflacionario permite explicar algúns problemas que se prantexan ao longo do universo primitivo, relacionados coas actuais observacións."
unnilennio,Meitnerio.
unnilhexio,Seaborgio.
unniloctio,Hassio.
unnilpentio,Dubnio.
unnilquadio,Rutherfordio.
unnilseptio,Bohrio.
ununbio,"Sb. Uub. Elemento químico de número atómico 112, descuberto no 1996 por P. Ambruster e os seus colaboradores da Sociedade para a Investigación de Ións Pesados de Darmstadt (GSI) en Alemaña. O único isótopo coñecido é o Uub-277. MA. 277."
ununnilio,"Sb. Uun. Elemento químico de número atómico 110, descuberto no 1994 por P. Ambruster e os seus colaboradores da Sociedade para a Investigación de Ións Pesados de Darmstadt (GSI) en Alemaña. Todos os 6 isótopos coñecidos son radiactivos, sendo o Uun-271 o máis estable, cunha vida media de 0,06 s. MA.271."
unununio,"Sb. Uuu. Elemento químico de número atómico 111, descuberto no1994 por P. Ambruster e os seus colaboradores da Sociedade para a Investigación de Ións Pesados de Darmstadt (GSI) en Alemaña. O único isótopo coñecido é o Uuu-272 cunha vida media de 2 ms. MA. 272."
uranio,"Sb. U. Elemento químico de número atómico 92, descuberto no 1789 por M. H. Klaproth. Metal radioactivo da serie dos actínidos. Duro, dúctil, maleable, mal conductor da electricidade e de alta densidade ten unha cor branca prateada. H. Becquerel descubriu no uranio o fenómeno da radioactividade. No 1939, O. Hahn e F. Strassmann descubriron a fisión nuclear ao bombardear uranio con neutróns lentos. O uranio 235 é o único material físil que se atopa na natureza. O abundante uranio-238 ao absorber neutróns lentos convértese no tamén físil plutonio-239. O uranio utilízase como material primario para a obtención dos elementos transuránidos.O uranio natural é unha mestura de 3 isótopos: U-234 ( 0,01 %), U-235, (0,72 %) e U-238 (99,27 %) con tempos de vida media respectivos de 2,455·105 anos, 7,038·108 anos e 4,468·109 anos. MA. 238,0289 u; Pf. 1135 ºC; Peb. 4131 °C;  18950 kgm-3."
Urano,"Séptimo planeta do Sistema Solar contando dende o Sol, descuberto no 1781 por W. Herschel. Ten un radio ecuatorial medio duns 25557 km e a súa masa é duns 8,686·1025 kg. Difícil de ver a simple vista, pois presenta unha magnitude visual na oposición de mV = +5,5. Na súa atmosfera son maioritarios o hidróxeno e o helio, sendo a súa temperatura media nas nubes duns –214ºC. Presenta unha constante solar moi pequena, unhas 0,003 veces a terrestre. Ten 15 satélites que, por orde de tamaño son: Titania, Oberon, Umbriel, Ariel, Miranda, Puck, Porcia, Xulieta, Belinda, Cresida, Rosalinda, Desdémona, Bianca, Ofelia e Cordelia. Ademais, Urano presenta unha decena de aneis planetarios, descubertos despois do 1977. Tarda uns 83,747 anos xulianos en completar unha volta arredor do Sol e unhas 17h14min24 s en completar unha rotación sobre o seu eixe (período sidéreo), sendo este último un movemento retrógrado. Algúns elementos da súa órbita veñen no Apéndice Final F."
Uranometría,"Atlas estelar publicado polo astrónomo Johann Bayer (1572-1625), no que intentaba sistematizar a nomenclatura das estrelas, e que aínda hoxe é moi empregado en astronomía. Emprega o nome, en latín, da constelación á que pertence a estrela, antepoñéndolle unha determinada letra grega, segundo a orde de brillo desa estrela. Así,  Orionis, indica a estrela máis brillante da constelación de Orión, e  Ursa maioris, a segunda en brillo da Osa Maior."
USB,"En informática, acrónimo de Universal Serial Bus (Bus serie universal). Estándar para portos de ordenadores persoais que permite soportar altas velocidades de transferencia de datos. En cada porto USB poden conectarse ata 127 periféricos encadeados como impresoras, escáners, cámaras dixitais, etc. Soporta a conexión en quente (sen apagar o ordenador) e o estándar enchufa e usa (plug and play). Está substituíndo aos portos serie e paralelo."
valencia,"En química, número de electróns que cada átomo (ou grupo de átomos) pode aceptar, ceder ou compartir na súa unión con outros, tomando como referencia o átomo de hidróxeno ao que se lle asigna o valor 1. Nos compostos iónicos coincide coa carga iónica de cada especie e nos compostos covalentes co número de enlaces formados. V. enlace químico."
valgada,"En meteoroloxía, área alongada de presión atmosférica relativamente baixa que se estende dende o centro dunha zona de baixa presión, de forma aberta. V. borrasca."
valor absidal,Un dos dous valores extremos entre os que están comprendidos os ángulos que fan que a enerxía potencial dun xiroscopio en rotación sexa menor que unha determinada cantidade.
valor característico,"En mecánica cuántica, cada un dos valores da enerxía para os que existen solucións á ecuación de Schrödinger independente do tempo, isto é cando se intenta describir un sistema mecánico-cuántico particular descrito por unha función de enerxía potencial independente do tempo, V(x). Un potencial particular ten un conxunto particular de valores característicos. Os primeiros estarán separados discretamente, pero normalmente resultarán distribuídos dunha forma continua na enerxía máis alá dun certo valor da mesma; é o que ocorre, p.e., nos posibles niveis enerxéticos ocupados por un electrón nun átomo de hidróxeno, E1, E2, E3...: a diferencia de enerxía entre cada nivel e o seguinte vai diminuíndo ao avanzar na serie, ata que chegamos a un valor no que se pode considerar o electrón como fóra do átomo."
valor característico,"En xeral, cada un dos valores dun determinado parámetro, que intervén nunha determinada ecuación, e para os cales existen solucións aceptables que constitúen funcións características."
valor eficaz da intensidade,"Dunha corrente alterna, é a intensidade que debería ter unha corrente continua que, conectada á mesma resistencia, liberase no mesmo tempo a mesma cantidade de calor. Vén dada por Se a corrente é sinusoidal, o valor eficaz da intensidade relacionase coa intensidade máxima mediante ."
valor eficaz da tensión,"Dunha corrente alterna, é a tensión que debería ter unha corrente continua que, conectada á mesma resistencia, liberase no mesmo tempo a mesma cantidade de calor. Vén dada porSe a corrente é sinusoidal, o valor eficaz da tensión relacionase coa tensión máxima mediante."
valor propio,Valor característico.
válvula de baleiro,V. válvula.
válvula,"Dispositivo formado por dous ou máis electrodos pechados no interior dun recipiente de vidro, ou cerámica, no que se fixo un baleiro máis ou menos intenso. No seu funcionamento existe unha circulación de electróns entre os electrodos. Os electróns parten do cátodo, que os emite mediante emisión termoiónica, emisión de campo ou emisión secundaria (ao ser bombardeado mediante unha emisión primaria de electróns). O movemento dos electróns no seu interior pode controlarse mediante un campo eléctrico, debido á diferencia de potencial entre os electrodos, ou mediante un campo magnético, creado por imáns ou electroimáns no exterior da válvula. Ata a aparición dos semiconductores, as válvulas utilizábanse en todo tipo de dispositivos electrónicos (radios, televisións, aparellos de son, etc.). Na actualidade seguen sendo utilizadas en dispositivos electrónicos de elevada potencia (transmisores, producción de microondas, radar, etc.). V. díodo; tríodo; tubo de descarga de gases."
"Van Allen, aneis ou cintos de","Cintos de radiación localizados na magnetosfera terrestre sobre latitudes comprendidas, aproximadamente, entre os 30º N e os 30º S. Identifícanse dous cintos principais: o máis próximo, situado entre os 2 400 e os 5 600 km de altitude, formado fundamentalmente por protóns e electróns de alta enerxía (con maior abundancia dos primeiros); o máis exterior, entre os 12 000 e 20 000 km, con maior abundancia de electróns. Un terceiro cinto, con menor densidade de partículas, podería localizarse entre os 50 000 e 60 000 km. Hai dous mecanismos de formación destes cintos: a captura de partículas electricamente cargadas, que chegan do Sol e do espacio interplanetario, polo campo magnético terrestre, obrigándoas a describir traxectorias helicoidais arredor das liñas de campo do mesmo; e a desintegración de neutróns, producidos na atmosfera pola acción dos raios cósmicos. V. aurora polar; dipolo magnético; Lorentz, lei de."
"Van de Graaff, xerador electrostático de","Tipo de xerador electrostático inventado por R.J. Van de Graaf (1901-1967) que permite obter diferencias de potencial de varios millóns de voltios. Consta dunha esfera metálica situada sobre un soporte illante. Pola parte inferior penetra no seu interior unha correa sen fin alimentada por un motor. Na parte inferior do xerador, a correa pasa entre un peite e unha placa entre os que se establece unha diferencia de potencial de varios miles de voltios. A carga escapa polas puntas do peite e é arrastrada pola correa ata o interior da esfera, na que un segundo peite en contacto coa esfera cede electróns á correa para neutralizar a súa carga. A carga positiva da esfera vai aumentado e o seu potencial respecto a terra tamén."
"Van der Waals, ecuación de estado de","Ecuación de estado proposta en 1873, a partir de consideracións cinéticas, por J.D. van der Waals para explicar o comportamento dun gas real. Ten a seguinte forma:onde a e b son dúas constantes propias de cada substancia, P, V, n e T representan a presión, volume, número de moles e temperatura respectivamente, e R a constante universal dos gases. A ecuación ten en conta, mediante o termo nb, o volume ocupado polas propias moléculas do gas, denominado covolume; e tamén ten en conta, mediante n2a/V2, a diminución de presión debida á existencia de forzas intermoleculares que impiden chocar libremente ás moléculas contra as paredes do recipiente que as contén."
"Van der Waals, forzas de",V. forzas intermoleculares.
"Van´t Hoff, factor de","Sb i. Parámetro que aparece nas ecuacións propias das propiedades coligativas dunha disolución, co que se intenta que estas ofrezan resultados máis similares aos reais, ao ter en conta a fracción de moléculas que están disociadas na disolución. Defínese como, ondeé o grao de disociación erepresenta o número de ións aos que cada molécula de soluto pode dar lugar ao disociarse."
vanadio,"Sb. V. Elemento químico de número atómico 23, descuberto no 1801 por Andrés Manuel del Río. Metal de cor branca prateada, emprégase na fabricación de aliaxes con ferro e aceiro, ás que confire dureza e resistencia. No seu estado natural está constituído por dous isótopos: V-50 (0,25 %) e V-51 (99,75 %). Coñécense 22 isótopos artificiais. MA. 50,94; Pf. 1910 ºC; Peb. 3407 ºC; 6000 kgm-3."
vantaxe mecánica,Parámetro que representa o rendemento dunha máquina simple. Vén dado polo cociente entre a forza resistente e a forza motriz.
vapor,"Estado gasoso dunha substancia. Soe empregarse este termo, en vez de gas, para situacións nas que se fai referencia ao estado líquido ou sólido do que procede."
vaporización,"Cambio de estado que ten lugar cando unha substancia pasa de líquido a gas. Constitúe un proceso no que se absorbe enerxía e que pode ocorrer de dúas formas diferentes: mediante a evaporación, lenta e superficial do líquido, ou mediante a ebulición do mesmo. V. Calor latente."
vara,Medida tradicional de lonxitude composta por 4 cuartas. Unha vara equivale a 84 cm.
variable extensiva,"Magnitude que depende das dimensións do sistema no que se mide. Así o valor total da mesma sempre será suma dos valores rexistrados en cada parte do sistema. A masa, o volume, o número de moles, a carga eléctrica ou a enerxía interna, son exemplos deste tipo de magnitudes."
variable intensiva,"Magnitude que non depende da cantidade de materia no sistema no que se mide. Describen as características específicas dun sistema nun estado determinado. Pertencen a este grupo a concentración, a densidade ou a temperatura."
variables cataclísmicas,"Estrelas variables que presentan grandes e moi bruscos aumentos na súa luminosidade, ben por que ten lugar a aparición de repentinos procesos de fusión nuclear no seu interior, como ocorre nas novas e supernovas, ben por que ocorre un gran intercambio de material entre estrelas dun sistema múltiple."
variables eclipsantes,"Estrelas variables debido a que forman parte dun sistema múltiple e se eclipsan mutua e alternadamente. A estrela Algol, en Perseo, é un exemplo de variable eclipsante."
variables emisoras de raios X,"Estrelas variables que presentan unha intensa emisión de raios X, en xeral debido a formar parte dun sistema binario formado por unha estrela moi densa (anana branca, estrela de neutróns ou burato negro) que está roubando materia á compañeira."
variables eruptivas,"Estrelas variables debido a que na súa atmosfera teñen lugar violentos procesos como a exección de gran cantidade de material como vento estelar. As estrelas de Wolf-Rayet e as T Tauri inclúense neste tipo de variables, e algunhas clasificacións consideran como tales as novas e supernovas. V. variables cataclísmicas; vento solar."
variables ocultas,"Nome que designa posibles parámetros que determinarían o comportamento dun sistema cuántico, e que o seu descoñecemento fai que o estudio do sistema se aborde dende unha perspectiva probabilística. Foi Einstein o primeiro que apelou á existencia de posibles variables ocultas, negando o indeterminismo que supoñía a aceptación da mecánica cuántica. V. Copenhagen, interpretación; EPR, paradoxo."
variables pulsantes,"Estrelas variables debido a que presentan contraccións e expansións dunha forma máis ou menos periódica. Tales cambios de tamaño supoñen unha variación na superficie emisiva e na temperatura efectiva da estrela, polo que afecta á súa luminosidade. Clasifícanse en diferentes subtipos, segundo o tipo de variabilidade que presentan: período curto, medio ou longo, regularidade do mesmo, etc. As cefeidas son un tipo de variables pulsantes."
variables rotantes,"Estrelas variables debido a que a luminancia na súa superficie non é uniforme, notándose coa rotación da mesma. En xeral, a non uniformidade é debida á acción de intensos campos magnéticos ou á presencia dunha compañeira moi próxima, situacións que poden producir inhomoxeneidades na composición química ou na temperatura da estrela. Os púlsares son exemplos de variables rotantes."
variables termodinámicas,Propiedade macroscópica que se emprega para caracterizar o estado termodinámico dun sistema. Distínguense variables extensivas e variables intensivas segundo dependan ou non da masa do sistema considerado. V. función de estado.
variación magnética secular,"Variación lenta do campo magnético terrestre que afecta aos valores locais da declinación magnética e da inclinación magnética en cada punto da superficie terrestre, pola cal os polos magnéticos da Terra presentan unha lenta oscilación, habendo invertido varias veces a súa polaridade en eras xeolóxicas. O estudio destas variacións e os seus efectos é o que se coñece como paleomagnetismo."
varianza,"En estatística, cadrado da desviación típica dun conxunto de medidas."
variedade,"Nome que en matemáticas se emprega para referirse a un espacio xeneralizado. A recta, o plano, o espacio tridimensional, o espacio-tempo de Minkowski ou un espacio-tempo de n-dimensións son exemplos de variedades."
